,Physical Factors that cause Post-Harvest Losses,,
Sources,Pest infestation,,47.50%
,Unskilled/careless laborer,,30.50%
,Shattering of grains,,9.20%
,Physiological process (wilting/softening),,8.40%
,Late harvesting,,4.40%
,,,
,,,
,,,
,,,
,Biological Factors that cause Post-Harvest Losses,,
Sources,Pest/disease infestation,,53.00%
,Eaten by animals,,47.00%
,,,
,,,
,,,
,Mechanical Factors that cause Post-Harvest Losses,,
,,,
,,,
,,,
,,,
Sources,Good grains are blown away and mixed with the chaffs,,35.30%
,Grains are not threshed and mixed with spent stalks,,22.20%
,Inefficient machines,,15.70%
,Grains not threshed,,15.00%
,Spillage in pavement due to cracks and crevice,,11.80%
,,,
,,,
,,,
,,,
,,,
,Climatological factors that cause Post-Harvest Losses,,
Sources,Harsh weather conditions,,58.30%
,Too much rain,,25.80%
,Plants lodged and panicles are submerged,,15.90%
,,,
,,,
,,,
,,,
