Per Province and Municipality,,Population of Rice Farmers,,,
Davao Oriental,Baganga,31,,,
,Boston,23,,,
,Cateel,213,,,
,Caraga,132,,,
,Banaybanay,327,,,
,Gov. Generoso,79,,,
,:Lupon,76,,,
,TOTAL,881,,,
Davao del Sur,Bansalan,831,,,
,Hagonoy,1100,,,
,Padada,11,,,
,Sulop,17,,,
,Kiblawan,32,,,
,Malita,1,,,
,Magsasay,831,,,
,Matano,2048,,,
,Sta Cruz,1,,,
,Davao City,89,,,
,Digos City,88,,,
,TOTAL,5049,,,
Davao el Norte,Asuncion,3561,,,
,Carmen,1762,,,
,Panabo,17,,,
,Tagum,110,,,
,Braulio E. Dujali,1597,,,
,Kapalong,257,,,
,New Corella,2043,,,
,San Isidro,284,,,
,Sto. Tomas,2648,,,
,Talaingod,18,,,
,TOTAL,12297,,,
Davao de Oro,Compostela,463,,,
,Maco,1,,,
,Maragusan,106,,,
,Mawab,757,,,
,Monkayo,289,,,
,Laak,39,,,
,Montevista,245,,,
,Nabunturan,272,,,
,New Bataan,72,,,
,TOTAL,2244,,,
GRAND TOTAL,,20471,,,
